Tienda	Código de Artículo		Descripción		Precio		Fecha	Exsitencia Actual		Puede Surtir	Nro.de Dctos.  Puede Surtir	NO Surtir	Nro.de Dctos.  NO Surtir		Existencia Aereo		
006	1612022		DOMESTICO PLANO BLAN		9,14		08-09-2018	3,00		3,00	1	0,00	0				
006	1612069		DOMESTICO ABRAZADERA		60,68		25-08-2018	13,00		13,00	1	0,00	0				
006	1612114		BIPOL C/ABRAZ TIERRA		641,96		31-08-2018	5,00		5,00	1	0,00	0				
006	1612119		BIPOLAR PLAST C/TIER		718,75		31-08-2018	3,00		3,00	1	0,00	0				
006	1612123		ADAPTADOR 3 A 2 NARA		264,29		31-08-2018	4,00		4,00	1	0,00	0				
006	1612133		DOMEST S/ABRAZADERA		53,13		24-08-2018	6,00		6,00	1	0,00	0				
006	1612153		INDUSTRIAL3X50PATA		30,33		04-09-2018	90,00		90,00	1	0,00	0		70,00		
006	1612175		ENCHUFE C/ABRAZADERA		80,49		06-09-2018	1,00		1,00	1	0,00	0				
006	1612365		SEMI INDUSTRIAL 15AM		73,54		26-08-2018	9,00		9,00	1	0,00	0				
006	1612369		SEMI INDUSTRIAL15AMP		73,07		24-08-2018	5,00		5,00	1	0,00	0				
006	1630048		INTERRUPTOR 2VÍAS		428,57		29-08-2018	3,00		3,00	1	0,00	0				
006	1630049		INTERRUPTOR 3 V AS		516,97		13-09-2018	2,00		2,00	1	0,00	0				
006	1630121		2 INTERRUPTORES 2VÍA		300,30		06-09-2018	2,00		1,00	1	1,00	1		1,00		
006	1630155		SENCILLO LARGO		274,14		04-09-2018	13,00		13,00	3	0,00	0		4,00		
006	1630156		INTERRUPTOR SENCILLO		250,86		04-09-2018	6,00		6,00	1	0,00	0		6,00		
006	1630157		DOBLE LARGO		353,45		05-09-2018	13,00		13,00	1	0,00	0		12,00		
006	1630158		INTERRUPTOR DOBLE		116,06		21-07-2018	12,00		2,00	1	10,00	1		10,00		
006	1630159		INTERRUPTOR TRIPLE		462,93		04-09-2018	7,00		7,00	1	0,00	0		4,00		
006	1630161		SENCILLO LARGO		316,38		04-09-2018	8,00		8,00	1	0,00	0		4,00		
